Year,PollutantID,Pollutant_Name,PlantID,Site,Easting,Northing,Operator,SectorID,Sector,Emission,Unit,Country,Datatype
2022,21,Ammonia,40661,Hull Energy Production Facility,513853.0,429166.0,Biomass UK No.1 LLP,18.0,Major power producers,0.3,Tonnes,England,O
2022,21,Ammonia,40662,Boston Energy Production Facility,534105.0,342133.0,Biomass UK No.3 Limited,18.0,Major power producers,0.3,Tonnes,England,O
2022,21,Ammonia,40693,Bradford Refinery,417197.0,432724.0,P Waddington & Co (1947) Ltd,5.0,"Food, drink & tobacco industry",4.413e-05,Tonnes,England,M
2022,21,Ammonia,40762,Shotton Mill,330500.0,371500.0,Shotton Mill Ltd,8.0,"Paper, printing & publishing industries",2.85,Tonnes,Wales,M
2022,21,Ammonia,41297,David Jack Research Centre,534790.0,214440.0,GlaxoSmithKline Research & Development Ltd,23.0,Commercial,1.74,Tonnes,England,M
2022,21,Ammonia,41304,Javelin Park Energy Recovery Facility,379883.0,210468.0,Urbaser Environmental Ltd,21.0,"Waste collection, treatment & disposal",1.02,Tonnes,England,O
2022,21,Ammonia,41306,Teesside EfW Plant,448000.0,522500.0,Suez Recycling And Recovery Uk Ltd,21.0,"Waste collection, treatment & disposal",6.26,Tonnes,England,O
2022,21,Ammonia,41316,Beddington ERF,529240.0,168460.0,Viridor South London Ltd,21.0,"Waste collection, treatment & disposal",3.44,Tonnes,England,O
2022,21,Ammonia,41330,Kemsley Generating Station,592116.0,166550.0,K3 CHP Operations Ltd,21.0,"Waste collection, treatment & disposal",2.39,Tonnes,England,O
2022,21,Ammonia,41353,Ellesmere Port Incinerator,342320.0,376060.0,Veolia ES (UK) Ltd,21.0,"Waste collection, treatment & disposal",0.54,Tonnes,England,M
2022,21,Ammonia,41361,Ardley ERF,454040.0,226340.0,Viridor Oxfordshire Ltd,21.0,"Waste collection, treatment & disposal",3.62,Tonnes,England,O
2022,21,Ammonia,41374,Shepperton,508550.0,168420.0,Sita Surrey Ltd,21.0,"Waste collection, treatment & disposal",1.8,Tonnes,England,O
2022,21,Ammonia,41381,Runcorn EfW Facility,349840.0,381620.0,Viridor Energy Ltd,21.0,"Waste collection, treatment & disposal",5.78,Tonnes,England,O
2022,21,Ammonia,43140,Hooton Park Sustainable Energy Facility,337120.0,379840.0,Hooton Bio Power Ltd,26.0,Minor power producers,0.3,Tonnes,England,M
2022,21,Ammonia,43148,Welland Bio Power,466110.0,284550.0,Welland Operations Ltd,26.0,Minor power producers,0.3,Tonnes,England,O
2022,21,Ammonia,43167,Saltend EVOH Plant,516260.0,428190.0,Mitsubishi Chemical UK Ltd,7.0,Other industries,0.3,Tonnes,England,M
2022,21,Ammonia,43170,Abingdon,449060.0,191980.0,Aptuit (Oxford) Ltd,10.0,Chemical industry,0.001434,Tonnes,England,O
2022,21,Ammonia,43185,Severn Road Resource Recovery Centre EfW Facility,353800.0,181700.0,Viridor Avonmouth Waste Services Ltd,21.0,"Waste collection, treatment & disposal",1.0,Tonnes,England,M
2022,21,Ammonia,43207,Bentham Fire Fighting Chemicals,366600.0,469100.0,Angus Fire Ltd,10.0,Chemical industry,0.3,Tonnes,England,M
2022,21,Ammonia,43224,Milton Keynes Waste Recovery Park,481106.0,241698.0,AmeyCespa Limited,23.0,Commercial,1.09,Tonnes,England,M
2022,21,Ammonia,43286,Dudley EfW,394560.0,289100.0,"North Midlands Operations Limited, MES Environmental Ltd",,,2.67,Tonnes,England,O
2022,21,Ammonia,43288,Stoke EfW,387830.0,343410.0,North Midlands Operations Limited,,,4.62,Tonnes,England,O
2022,21,Ammonia,43289,Waste to Energy Plant Crown Street,391660.0,299990.0,North Midlands Operations Limited,,,1.29,Tonnes,England,O
2022,21,Ammonia,43302,Bromborough,335550.0,382930.0,Baker and Baker Products UK Ltd,,,2.65,Tonnes,England,O
